
Date	Fatalities	Injuries	Survivors	Flight(s) or incident	Location	State or territory	Aircraft	Summary
June 7, 1971	28	0	3	Allegheny Airlines Flight 485	New Haven	Connecticut	Convair CV-580	The captain attempted to execute a visual approach in poor visibility, forcing him to descend below the minimum allowed descent altitude, and the aircraft crashed short of the runway. It is believed that everyone except the captain initially survived the crash, but all but 3 died in the ensuing fire while attempting to exit the aircraft.
June 6, 1971	50	0	1	Hughes Airwest Flight 706	San Gabriel Mountains, near Duarte	California	McDonnell Douglas DC-9-31, McDonnell Douglas F-4 Phantom II	The F-4 of the Marine Corps was flying under visual flight rules but failed to see the commercial aircraft in time to avoid a mid-air collision. The only survivor was the radar intercept officer of the F-4, who successfully ejected.
November 14, 1970	75	0	0	Southern Airways Flight 932	Huntington	West Virginia	McDonnell Douglas DC-9-31	The aircraft descended below the minimum descent altitude during approach and crashed short of the runway. The charter flight was carrying the Marshall University Thundering Herd football team.
October 2, 1970	31	9	9	Wichita State University football team plane crash	near Loveland Pass, 8 miles west of Silver Plume	Colorado	Martin 4-0-4	The company president, serving as first officer, attempted to fly a poorly planned scenic route and the aircraft entered a box canyon from which it was unable to climb out, crashing into a mountain ridge. Among the fatalities were 14 members of the Wichita State University football team.
March 17, 1970	1	2	72	Eastern Air Lines Shuttle Flight 1320	inbound to Boston	Massachusetts	McDonnell Douglas DC-9-31	A suicidal hijacker shot both the captain and first officer. The first officer was able to get control of the gun and shoot the perpetrator before succumbing to his wounds. The captain then obtained the gun and hit the assailant and proceeded to safely land the plane. The perpetrator was arrested.
November 19, 1969	14	0	0	Mohawk Airlines Flight 411	Fort Ann	New York	Fairchild Hiller FH-227	The captain executed an improper instrument approach, entering a downdraft near terrain at low altitude that caused an unrecoverable descent.
September 9, 1969	83	0	0	Allegheny Airlines Flight 853	Moral Township	Indiana	McDonnell Douglas DC-9-31, Piper PA-28 Cherokee	The Piper was operating under visual flight rules and failed to see the faster DC-9 in time to avoid a mid-air collision.
March 5, 1969	19	0	0	Prinair Flight 277	Fajardo	Puerto Rico	de Havilland DH.114 Heron 2B	The location of the aircraft was mistook by air traffic control, leading to premature directions to descend that led to a crash into terrain that was not visible to the crew until just before the collision.
February 18, 1969	35	0	0	Hawthorne Nevada Airlines Flight 708	Mount Whitney, near Lone Pine	California	Douglas DC-3	The flight was operating under visual flight rules, but entered weather and terrain conditions necessitating instrument flight rules and crashed into Mount Whitney.
January 18, 1969	38	0	0	United Airlines Flight 266	Santa Monica Bay, off Santa Monica	California	Boeing 727-22C	The aircraft lost all electrical power shortly after takeoff in a series of events, leading to loss of altitude and situational awareness by the crew and a crash into the bay. It is unclear why the backup electrical system was not activated, or if it were, why it failed to function as well.
January 13, 1969	15	17	30	Scandinavian Airlines System Flight 933	Santa Monica Bay, off Santa Monica	California	McDonnell Douglas DC-8-62	The crew became distracted during approach by lack of confirmation that the nose gear was properly deployed and lost situational awareness; this combined with a series of other mistakes led to the aircraft crashing into the bay.
January 6, 1969	11	17	17	Allegheny Airlines Flight 737	Lafayette Township	Pennsylvania	Convair CV-580	The aircraft crashed during an instrument approach in winter weather for undetermined reasons.
December 27, 1968	28	24	18	North Central Airlines Flight 458	Chicago	Illinois	Convair CV-580	The captain is believed to have become disoriented with respect to the approach lights and attempted a go-around, but the aircraft climbed to the point of causing a stall and crashed into a hangar, killing 1 and injuring 6 on the ground.
December 24, 1968	20	27	27	Allegheny Airlines Flight 736	Bradford	Pennsylvania	Convair CV-580	The crew lost altitude awareness during approach while trying to visually locate the runway, descending below the minimum descent altitude and striking trees.
December 2, 1968	39	0	0	Wien Consolidated Airlines Flight 55	Pedro Bay	Alaska	Fairchild F-27	The aircraft encountered severe turbulence and experienced structural failure in the right wing due to the presence of fatigue cracks that went unnoticed during maintenance, leading to an unrecoverable spiraling dive.
October 25, 1968	32	10	10	Northeast Airlines Flight 946	Etna	New Hampshire	Fairchild Hiller FH-227	The aircraft crashed into terrain during approach because it was flying 600 feet below its required altitude, apparently due to confusion of the part of the crew.
August 14, 1968	21	0	0	Los Angeles Airways Flight 417	Compton	California	Sikorsky S-61L	The helicopter experienced failure of the blade rotor system, where one blade struck the fuselage, leading to a loss of balance and failure of all five rotor blades and subsequent separation of the rear fuselage and tail.
May 22, 1968	23	0	0	Los Angeles Airways Flight 841	Paramount	California	Sikorsky S-61L	The helicopter lost a rotor blade due to structural failure caused by manufacturing defects, leading to loss of control of the aircraft.
May 3, 1968	85	0	0	Braniff Flight 352	near Dawson	Texas	Lockheed L-188A Electra	The captain chose to fly into a severe thunderstorm, then attempted to execute a steep 180-degree turn to escape the weather, exceeding the structural limits of the aircraft, which caused it to break apart in mid-air.
November 20, 1967	70	12	12	TWA Flight 128	Constance	Kentucky	Convair 880	The aircraft crashed short of the runway during an attempted visual approach in poor weather due to its descent below the minimum altitude.
November 6, 1967	1	10	35	TWA Flight 159	Erlanger	Kentucky	Boeing 707-131	The aircraft experienced a compressor stall in an engine due to crossing the jet blast of another aircraft stuck perpendicular to the runway; believing a collision had occurred, the first officer attempted an aborted takeoff but overran the runway. One passenger later died of their injuries.
July 19, 1967	82	0	0	Piedmont Airlines Flight 22	Hendersonville	North Carolina	Boeing 727-22, Cessna 310	The aircraft experienced a mid-air collision with the Cessna shortly after takeoff. Primary blame was placed on the Cessna pilot in one of the first investigations conducted by the NTSB. The investigation was revisited decades later after concerns were raised that the role of air traffic control and factors aboard the Boeing were not adequately considered; the original findings were upheld.
June 23, 1967	34	0	0	Mohawk Airlines Flight 40	Blossburg	Pennsylvania	BAC One-Eleven	A valve in the auxiliary power unit failed, starting a fire that reached the tail and loss of pitch control.
March 10, 1967	4	0	0	West Coast Airlines Flight 720	near Klamath Falls	Oregon	Fairchild F-27	The aircraft accumulated significant amounts of snow and ice while waiting for takeoff and crashed shortly after becoming airborne, presumably due to a stall.
March 9, 1967	26	0	0	TWA Flight 553	Concord Township	Ohio	McDonnell Douglas DC-9-15, Beechcraft Baron	The flight was operating under visual flight rules and experienced a mid-air collision during a descent, with neither aircraft detecting the other in time to avoid a collision.
March 5, 1967	38	0	0	Lake Central Flight 527	near Marseilles Township	Ohio	Convair 880	A propeller detached from the plane and heavily damaged the fuselage during approach, presumably due to loss of a piston due to excessive wear attributed to a manufacturing defect, leading to a loss of control.
October 1, 1966	18	0	0	West Coast Airlines Flight 956	near Wemme	Oregon	McDonnell Douglas DC-9-14	The aircraft descended below its cleared altitude during approach and crashed.
August 6, 1966	42	0	0	Braniff Flight 250	near Falls City	Nebraska	BAC One-Eleven	The aircraft entered severe thunderstorms and encountered a strong updraft, causing the right tailplane, vertical stabilizer, and later the right wing to fail, leading to a complete loss of control.
April 22, 1966	83	0	0	American Flyers Flight 280	Ardmore	Oklahoma	Lockheed L-188C Electra	The pilot in command became incapacitated due to a health issue during approach and the plane overshot the runway.
December 4, 1965	4	49	108	1965 Carmel mid-air collision	Carmel	New York	Lockheed L-1049C Super Constellation, Boeing 707-131B	Eastern Air Lines Flight 853, flying the Constellation, approached TWA Flight 42, flying the Boeing, which appeared to be at the same altitude. Evasive maneuvers by both aircraft led to a mid-air collision. The Boeing safely made an emergency landing while the Constellation crashed, with 4 fatalities.
November 11, 1965	43	35	48	United Airlines Flight 227	Salt Lake City	Utah	Boeing 727-22	The crew executed an unstabilized approach, descending at roughly three times the normal descent rate, and crashed short of the runway. The captain was blamed for not effectively managing the approach. All aboard initially survived the crash, with the fatalities occurring due to the subsequent fire.
November 8, 1965	58	4	4	American Airlines Flight 383	Constance	Kentucky	Boeing 727-23	The crew descended prematurely during approach in deteriorating weather and crashed short of the runway due to their loss of altitude awareness.
August 16, 1965	30	0	0	United Airlines Flight 389	Lake Michigan, 20 east of Fort Sheridan	Illinois	Boeing 727-22	The aircraft crashed during a routine descent; it is suspected the crew misread their altimeters by 10,000 feet.
February 8, 1965	84	0	0	Eastern Air Lines Flight 663	Atlantic Ocean, off of Wantagh	New York	Boeing 727-22	The crew executed a steep right bank shortly after takeoff to avoid an apparently imminent collision with Pan Am Flight 212, which is believed to have caused spatial disorientation that prevented the pilot from recovering before striking the water.
December 24, 1964	3	0	0	Flying Tiger Line Flight 282	San Bruno	California	Lockheed L-1049H Super Constellation	The aircraft deviated from its departure course for unknown reasons into an area of elevated terrain and crashed shortly after takeoff.
November 15, 1964	29	0	0	Bonanza Air Lines Flight 114	near Sloan	Nevada	Fairchild F-27	The aircraft struck the top of a ridge during approach and exploded; an inappropriately labeled chart is blamed.
July 9, 1964	39	0	0	United Airlines Flight 823	near Parrottsville	Tennessee	Vickers Viscount 745D	A fire occurred in the passenger cabin and spread, leading to a loss of control.
May 7, 1964	44	0	0	Pacific Air Lines Flight 773	near Danville	California	Fairchild F-27	A passenger entered the cockpit and shot the captain and then the first officer and finally himself, causing the aircraft fall out of control in a murder-suicide. The incident led to an FAA requirement to keep the cockpit door locked during flight in most circumstances.
March 1, 1964	85	0	0	Paradise Airlines Flight 901A	near Lake Tahoe	California	Lockheed L-049 Constellation	The pilot attempted a visual approach in poor weather and visibility, then likely attempted a missed approach and diversion to another airport, but struck terrain near the lake.
February 25, 1964	58	0	0	Eastern Air Lines Flight 304	Lake Pontchartrain, near New Orleans	Louisiana	Douglas DC-8	It was concluded that a malfunctioning pitch trim compensator caused the crew to trim the horizontal stabilizer in a manner that led to a loss of control during severe turbulence.
December 8, 1963	81	0	0	Pan Am Flight 214	Elkton	Maryland	Boeing 707-121	The aircraft was struck by lightning which is believed to have ignited fuel vapors in one of the fuel tanks, causing an explosion that destroyed one of the wings and led to loss of control.
July 2, 1963	7	36	36	Mohawk Airlines Flight 121	Rochester	New York	Martin 4-0-4	The aircraft attempted to takeoff in poor weather under threats from the captain's superiors and encountered windshear, leading to a loss of control and the left wing impacting the ground.
June 3, 1963	101	0	0	Northwest Orient Airlines Flight 293	Clarence Strait, near Annette Island	Alaska	Douglas DC-7C	The aircraft crashed off the coast for unknown reasons.
February 12, 1963	43	0	0	Northwest Orient Airlines Flight 705	Everglades	Florida	Boeing 720	The aircraft encountered poor weather and experienced severe vertical air drafts shortly after takeoff, causing rapid ascents and descents, causing the aircraft to break up during a steep dive.
November 30, 1962	25		26	Eastern Airlines Flight 512	New York City	New York	Douglas DC-7B	The crew attempted a go-around in poor visibility, but failed to use sufficient power or rotation to stop the descent.
November 23, 1962	17	0	0	United Airlines Flight 297	near Ellicott City	Maryland	Vickers Viscount 745D	The aircraft suffered a bird strike that severely damaged the left horizontal stabilizer, leading to a loss of control.
July 22, 1962	27	13	13	Canadian Pacific Air Lines Flight 301	Honolulu	Hawaii	Bristol Britannia 314	The crew attempted a go-around but insufficient altitude remained for the aircraft to climb successfully.
May 22, 1962	45	0	0	Continental Airlines Flight 11	near Unionville	Missouri	Boeing 707-124	A suicidal passenger exploded a bomb in a lavatory causing loss of the tail and a crash.
March 1, 1962	95	0	0	American Airlines Flight 1	Jamaica Bay, Queens, New York City	New York	Boeing 707-123B	The aircraft experienced an uncommanded rudder movement due to a manufacturing defect shortly after takeoff, crashing into the bay.
November 8, 1961	77	2	2	Imperial Airlines Flight 201/8	near Richmond	Virginia	Lockheed L-049E Constellation	Numerous errors and poor judgement by the crew led to loss of engine power and loss of control during approach from which they were unable to recover.
September 17, 1961	37	0	0	Northwest Orient Airlines Flight 706	Chicago	Illinois	Lockheed L-188C Electra	Improper maintenance led to failure of the control cable to the ailerons, causing an uncontrollable right bank shortly after takeoff and eventual crash.
September 1, 1961	78	0	0	TWA Flight 529	Willowbrook Township	Illinois	Lockheed L-049 Constellation	It was concluded that loss of a bolt from the elevator control mechanism caused an abrupt pitch up, leading to a stall and crash shortly after takeoff.
July 21, 1961	6	0	0	Alaska Airlines Flight 779	Shemya	Alaska	Douglas DC-6A	The aircraft crashed short of the runway during approach, attributed to improper guidance by air traffic control and lack of approach and runway lighting.
July 11, 1961	18	84	105	United Airlines Flight 859	Denver	Colorado	Douglas DC-8-12	Both left engines failed to generate reverse thrust after landing and instead continued to generate forward thrust, causing the aircraft to depart the runway and break apart, leading to a fire.
January 28, 1961	6	0	0	American Airlines Flight 1502	Atlantic Ocean, 5 miles from Montauk	New York	Boeing 707-123	The aircraft experienced a loss of control for undetermined reasons.
December 16, 1960	134	0	0	1960 New York mid-air collision	New York City	New York	Douglas DC-8-11, Lockheed L-1049 Super Constellation	United Flight 826, operating the DC-8, exceeded its clearance given by air traffic control and collided with TWA Flight 266, operating the Super Constellation. The DC-8 crashed on Staten Island, while the Super Constellation crashed in Brooklyn, ultimately killing everyone on board as well as 6 on the ground.
October 29, 1960	22	26	26	California Polytechnic State University football team plane crash	Swanton Township	Ohio	Curtiss C-46 Commando	The aircraft crashed during takeoff due to a premature liftoff by the pilot. Contributing factors were that the aircraft was overloaded and partial loss of power from one engine.
October 4, 1960	62	10	10	Eastern Air Lines Flight 375	Boston	Massachusetts	Lockheed L-188A Electra	The aircraft suffered severe engine damage due to a bird strike during takeoff that led to an unrecoverable asymmetric stall. A possible contributing factor was improper maintenance to the first officer seat that may have led to inadvertent control inputs during the emergency.
March 17, 1960	63	0	0	Northwest Orient Airlines Flight 710	Tobin Township	Indiana	Lockheed L-188C Electra	The aircraft came apart in mid-air, believed to be due to development of wing flutter.
January 18, 1960	50	0	0	Capital Airlines Flight 20	Holdcroft	Virginia	Vickers Viscount 745D	The aircraft experienced severe icing which caused complete engine failure; the crew was able to restart one engine but this generated asymmetric thrust that was unable to generate sufficient lift, leading to a crash.
January 6, 1960	34	0	0	National Airlines Flight 2511	near Bolivia	North Carolina	Douglas DC-6B	Dynamite detonated on board causing a mid-air explosion and destruction of the aircraft. A suicide bombing is suspected.
December 1, 1959	25	1	1	Allegheny Airlines Flight 371	South Williamsport	Pennsylvania	Martin 2-0-2	A malfunction of the aircraft's compass led the aircraft off course during a missed approach and the flight crashed into terrain.
November 16, 1959	42	0	0	National Airlines Flight 967	Gulf of Mexico, southeast of Pensacola	Florida	Martin 2-0-2	The aircraft is believed to have suffered an in-flight explosion, suspected to be due to a bomb.
October 30, 1959	26	1	1	Piedmont Airlines Flight 349	near Crozet	Virginia	Douglas DC-3	The aircraft crashed into terrain during approach due to a navigational error by the pilot.
September 29, 1959	34	0	0	Braniff Flight 542	near Buffalo	Texas	Lockheed L-188A Electra	The aircraft came apart in mid-air, initially for unknown reasons, but was eventually believed to be due to development of wing flutter after a similar accident, Northwest Orient Airlines Flight 710.
August 15, 1959	5	0	0	American Airlines Flight 514	Calverton	New York	Boeing 707-123	The aircraft developed excessive yaw during approach, which the crew failed to recognize and correct.
May 12, 1959	31	0	0	Capital Airlines Flight 75	Chase	Maryland	Vickers Viscount 745D	The aircraft encountered severe turbulence which caused a steep descent that led to failure of the aircraft's fuselage.
February 3, 1959	4	0	0	The Day the Music Died	near Clear Lake	Iowa	Beechcraft Bonanza	The charter flight was operating under visual flight rules in poor visibility and weather and the pilot (who was not qualified for instrument flight rules) became disoriented, leading to a crash. In addition to the pilot, musicians Buddy Holly, Ritchie Valens, and The Big Bopper were killed. The song "American Pie" refers to the incident.
February 3, 1959	65	8	8	American Airlines Flight 320	New York City	New York	Lockheed L-188A Electra	The aircraft descended below glideslope during approach in poor weather and crashed short of the runway.
January 8, 1959	10	0	0	Southeast Airlines Flight 308	Holston Mountain	Tennessee	Douglas DC-3A	The crew made a navigational error during approach and struck the mountain.
August 15, 1958	25	9	9	Northeast Airlines Flight 258	Nantucket	Massachusetts	Convair CV-240	The crew attempted an approach using visual flight rules under poor visibility that precluded such an approach and crashed short of the runway.
April 21, 1958	49	0	0	United Airlines Flight 736	Enterprise	Nevada	Douglas DC-7, North American F-100 Super Sabre	The two aircraft approached each other at high speed and were unable to avoid a mid-air collision.
April 6, 1958	47	0	0	Capital Airlines Flight 67	Saginaw Bay, near Freeland	Michigan	Vickers Viscount 745D	The plane experienced severe icing which led to an unrecoverable stall during approach.
November 8, 1957	44	0	0	Pan Am Flight 7	Pacific Ocean, en route to Honolulu	Hawaii	Boeing 377 Stratocruiser	The flight disappears from radio contact and does not arrive in Hawaii; debris and bodies are located weeks later. The cause was not determined, though the investigation found high levels of carbon monoxide in many of the human remains.
February 1, 1957	20	78	81	Northeast Airlines Flight 823	Queens, New York City	New York	Douglas DC-6A	The aircraft deviated left from its assigned heading during climbout and struck terrain. Spatial disorientation on the part of the captain while flying in the clouds is blamed.
July 9, 1956	1	5	34	Trans-Canada Air Lines Flight 304	over Flat Rock	Michigan	Vickers Viscount 724	A propeller detached from its engine and one blade penetrated the fuselage, killing one passenger. The flight then made a successful emergency landing.
June 30, 1956	128	0	0	1956 Grand Canyon mid-air collision	Grand Canyon	Arizona	Douglas DC-7, Lockheed L-1049A Super Constellation	Both flights were operating under visual flight rules and failed to detect the other, leading to a mid-air collision. The accident spurred the creation of the Federal Aviation Administration.
June 20, 1956	47	0	0	Linea Aeropostal Venezolana Flight 253 (June 1956)	Atlantic Ocean, off of Asbury Park	New Jersey	Lockheed L-1049E Super Constellation	The aircraft had trouble with an engine and was returning for an emergency landing when a fire started and the aircraft lost control.
April 2, 1956	5	2	33	Northwest Orient Airlines Flight 2	Puget Sound, off of Point Robinson	Washington	Boeing 377 Stratocruiser	The flight engineer inadvertently left the cowl flaps on the engines open during takeoff, which disrupted airflow over the wings and led to decreased lift. Unknown at the time and unable to fly normally, the captain elected to ditch the aircraft in Puget Sound; all aboard initially survived but 5 later died of their injuries.
April 1, 1956	22	14	14	TWA Flight 400	Moon Township	Pennsylvania	Martin 4-0-4	The aircraft experienced a fire warning in one of the engines just after takeoff due to a malfunction of the exhaust system that blew exhaust onto a temperature sensor, causing the first officer to shut down the engine. The captain stopped the first officer from manually feathering the engine, and the autofeather device did not feather the engine, leading to asymmetric drag and a crash.
November 1, 1955	44	0	0	United Airlines Flight 629	Longmont	Colorado	Douglas DC-6B	Dynamite was placed in checked luggage and detonated in flight.
October 6, 1955	66	0	0	United Airlines Flight 409	near Centennial	Wyoming	Douglas DC-4	The aircraft struck terrain for undetermined reasons.
April 4, 1955	3	0	0	1955 MacArthur Airport United Airlines crash	Islip	New York	Douglas DC-6	The training flight attempted to simulate a single engine failure during takeoff, but actually caused reverse thrust in the engine leading to a loss of control.
March 26, 1955	4	0	19	Pan Am Flight 845/26	Pacific Ocean, 35 miles west of the Oregon coast	Oregon	Boeing 377 Stratocruiser	An engine separated from the aircraft, forcing the aircraft to be ditched.
March 20, 1955	13	22	22	American Airlines Flight 711	near Springfield	Missouri	Convair CV-240	The crew is thought to have lost altitude awareness during approach, leading to a crash short of the runway.
February 19, 1955	16	0	0	TWA Flight 260	Sandia Mountains	New Mexico	Martin 4-0-4	The aircraft struck terrain at the initial stages of approach. A variety of causes were considered possible but the cause was not definitively determined.
January 12, 1955	15	0	0	1955 Cincinnati mid-air collision	Hebron	Kentucky	Martin 2-0-2, Douglas DC-3	TWA Flight 694, operating the Martin 2-0-2, collided in mid-air after takeoff with a privately owned DC-3 that entered airport airspace without clearance.
October 29, 1953	19	0	0	BCPA Flight 304	near Woodside	California	Douglas DC-6	The aircraft crashed into terrain during approach due to an apparent failure of the crew to correctly execute an instrument approach.
September 16, 1953	28	0	0	American Airlines Flight 723	Colonie	New York	Convair CV-240	The aircraft descended too low during approach in poor visibility and struck a set of radio towers.
July 12, 1953	58	0	0	Transocean Air Lines Flight 512	Pacific Ocean, approximately 340 nm east of Wake Island, en route to Honolulu	Hawaii	Douglas DC-6A	The aircraft was lost in the ocean for undetermined reasons.
February 14, 1953	46	0	0	National Airlines Flight 470	Gulf of Mexico, 20 miles off Fort Morgan	Alabama	Douglas DC-6	The aircraft is believed to have encountered severe weather and crashed.
June 28, 1952	2	0	60	American Airlines Flight 910	Dallas	Texas	Douglas DC-6	The aircraft collided with a private Temco Swift during approach. Primary blame was placed on the private aircraft, which was operating under visual flight rules.
April 11, 1952	52	0	17	Pan Am Flight 526A	Atlantic Ocean, about 11 miles NW of San Juan	Puerto Rico	Douglas DC-4	Both starboard engines failed due to inadequate maintenance, causing the crew to ditch shortly after takeoff.
February 11, 1952	33	34	34	National Airlines Flight 101	Elizabeth	New Jersey	Douglas DC-6	The propeller governor of engine #3 malfunctioned and caused the engine to go into reverse during climb-out, while engine #4 was feathered, leading to a loss of control and a crash into an apartment, where 4 occupants were killed.
January 22, 1952	30	0	0	American Airlines Flight 6780	Elizabeth	New Jersey	Convair CV-240	The aircraft crashed during approach for unknown reasons; 7 on the ground were killed in addition to everyone aboard.
December 29, 1951	26	14	14	Continental Charters Flight 44-2	near Napoli	New York	Curtiss C-46 Commando	The aircraft struck terrain in poor weather and visibility due to the crew attempting to fly under visual flight rules in inappropriate conditions and at an insufficient altitude.
December 16, 1951	58	0	0	1951 Miami Airlines C-46 crash	Elizabeth	New Jersey	Curtiss C-46 Commando	The right engine developed a mechanical failure and a fire during and after takeoff, eventually causing a loss of control.
August 24, 1951	50	0	0	United Airlines Flight 615	near Decoto	California	Douglas DC-6B	The pilot ignored instrument approach procedures and attempted to rely on an automatic direction finder which led the plane off course and below the necessary altitude, leading to a crash into terrain.
June 30, 1951	50	0	0	United Airlines Flight 610	near Fort Collins	Colorado	Douglas DC-6	The crew apparently made a navigational error during approach, missing a turn and flying into terrain.
April 25, 1951	43	0	0	Cubana de Aviación Flight 493	Key West	Florida	Douglas DC-4, Beechcraft SNB-1 Kansan	Both aircraft were operating under visual flight rules in good visibility but failed to detect each other, leading to a mid-air collision.
January 14, 1951	7	11	21	National Airlines Flight 83	Philadelphia	Pennsylvania	Douglas DC-4	The aircraft touched down far down the runway in icy conditions and overran the runway.
June 23, 1950	58	0	0	Northwest Orient Airlines Flight 2501	Lake Michigan, off Benton Harbor	Michigan	Douglas DC-4	The flight disappeared for unknown reasons; later debris and body fragments were found on the surface.
March 7, 1950	15	0	0	Northwest Orient Airlines Flight 307	Minneapolis	Minnesota	Martin 2-0-2	The aircraft struck a flagpole during approach due to pilot error.
November 29, 1949	28	16	18	American Airlines Flight 157	Dallas	Texas	Douglas DC-6	The crew made a series of mistakes during an approach after the loss of one engine, striking the runway tail-first.
November 1, 1949	55	1	1	Eastern Air Lines Flight 537	Alexandria	Virginia	Douglas DC-4, Lockheed P-38 Lightning	The P-38 attempted to land without clearance, which led to a mid-air collision. The only survivor was the pilot of the P-38.
July 12, 1949	35	13	13	Standard Air Lines Flight 897R	Chatsworth	California	Curtiss C-46 Commando	The pilot descended below the minimum altitude during approach in poor visibility, with the right wing clipping the side of a hill and instigating a crash.
June 7, 1949	53	0	28	1949 Strato-Freight Curtiss C-46A crash	Atlantic Ocean, near San Juan	Puerto Rico	Curtiss C-46 Commando	Installation of incorrect spark plugs caused the right engine to fail during takeoff, causing insufficient lift for takeoff, and the aircraft settled into the ocean.
December 28, 1948	32	0	0	1948 Airborne Transport DC-3 disappearance	Atlantic Ocean, en route to Miami	Florida	Douglas DST	The flight disappeared for unknown reasons.
August 29, 1948	37	0	0	Northwest Airlines Flight 421	Fountain City	Wisconsin	Martin 2-0-2	The left wing experienced structural failure of the left wing due to fatigue, causing a crash.
June 17, 1948	43	0	0	United Airlines Flight 624	Conyngham Township	Pennsylvania	Douglas DC-6	The crew responded to a false fire warning in the cargo hold by discharging the fire extinguisher without opening the pressure release valves, which caused a buildup of carbon dioxide in the cockpit that led to crew incapacitation and a crash.
March 12, 1948	30	0	0	Northwest Airlines Flight 4422	Mount Sanford	Alaska	Douglas C-54 Skymaster	The flight deviated from its proper airway and crashed into the mountain.
January 28, 1948	32	0	0	1948 Los Gatos DC-3 crash	Diablo Range, west of Coalinga	California	Douglas DC-3	The left engine developed a fire that eventually spread and caused failure of the airframe.
October 26, 1947	18	0	0	Pan Am Flight 923	Annette Island	Alaska	Douglas DC-4	The flight struck a mountain for unknown reasons.
October 24, 1947	52	0	0	United Airlines Flight 608	Bryce Canyon National Park	Utah	Douglas DC-6	A fire ignited during fuel transfer due to a design flaw, leading to an in-flight breakup of the airframe and loss of control during an emergency approach.
June 13, 1947	50	0	0	Pennsylvania Central Airlines Flight 410	near Charles Town	West Virginia	Douglas DC-4	The pilot descended below the prescribed minimum altitude during approach and struck terrain.
May 30, 1947	53	0	0	Eastern Air Lines Flight 605	near Bainbridge	Maryland	Douglas C-54 Skymaster	The aircraft suddenly lost control for undetermined reasons.
May 29, 1947	43	5	5	United Airlines Flight 521	Queens, New York City	New York	Douglas DC-4	The pilot attempted an aborted takeoff but overran the runway.
January 12, 1947	18	1	1	Eastern Air Lines Flight 665	Galax	Virginia	Douglas DC-3	The aircraft struck terrain in poor weather due to disorientation and poor navigation on the part of the pilot.
July 11, 1946	5	1	1	TWA Flight 513	Bern Township	Pennsylvania	Lockheed L-049 Constellation	A fire erupted in the baggage compartment due to faulty wiring, causing a loss of control.
January 6, 1946	3	5	16	Pennsylvania Central Airlines Flight 105	Birmingham	Alabama	Douglas DC-3	The aircraft attempted to land from above glideslope and with too high a speed and overran the runway.
October 5, 1945	2		13	National Airlines Flight 16	Lakeland	Florida	Lockheed 18-50 Lodestar	The pilot attempted a missed approach too late and overran the runway.
June 20, 1944	7	0	0	TWA Flight 277	Fort Mountain, Baxter State Park	Maine	Douglas C-54 Skymaster	The flight drifted off course in poor weather and struck mountainous terrain.
February 10, 1944	24	0	0	American Airlines Flight 2	Mississippi River, 18 miles SW of Memphis	Tennessee	Douglas DC-3	The flight crashed for unknown reasons.
October 15, 1943	11	0	0	American Airlines Flight 63 (Flagship Missouri)	Centerville	Tennessee	Douglas DC-3	The aircraft developed severe icing which eventually made it unable to maintain altitude, causing it to strike terrain.
July 28, 1943	20	2	2	American Airlines Flight 63 (Flagship Ohio)	near Trammel	Kentucky	Douglas DC-3	The flight lost control due to severe turbulence and a downdraft caused by a thunderstorm.
January 21, 1943	19	0	0	Pan Am Flight 1104	near Ukiah	California	Martin M-130	The flight became off-course in poor weather at night and struck a mountain.
October 23, 1942	12	0	2	American Airlines Flight 28	Chino Canyon near Palm Springs	California	Douglas DC-3, Lockheed B-34 Lexington	The DC-3 was struck by the B-34 as its pilot was attempting to get closer to it to establish visual communication with the first officer, as the two were friends. The DC-3 lost control and crashed, killing all on board, while the B-34 landed successfully with minor damage.
January 16, 1942	22	0	0	TWA Flight 3	Potosi Mountain	Nevada	Douglas DC-3	The captain executed an improper flight plan, incorporating a heading appropriate for a different takeoff airport, that caused the aircraft to strike terrain at its cruising altitude. Among the fatalities was actress Carole Lombard.
October 30, 1941	14	1	1	Northwest Airlines Flight 5	Moorhead	Minnesota	Douglas DC-3	The aircraft developed severe icing on its wings and crashed. The captain was the sole survivor, though he would die a year later in another aviation accident.
February 26, 1941	8	8	8	Eastern Air Lines Flight 21	Morrow	Georgia	Douglas DC-3	The aircraft struck terrain during approach due to improperly set altimeters.
August 31, 1940	25	0	0	Lovettsville air disaster	Lovettsville	Virginia	Douglas DC-3	The aircraft is believed to have crashed due to a lightning strike.
January 21, 1939	3	10	10	1939 Imperial Airways flying boat ditching	Atlantic Ocean, en route from New York City	New York	Short Empire	The aircraft landed in the ocean because of engine failure due to icing and sank.
January 13, 1939	4	0	0	Northwest Airlines Flight 1	near Miles City	Montana	Lockheed Model 14H Super Electra	A fire rapidly developed in the cockpit shortly after takeoff, possibly due to a fuel leak from a cross-feed fuel valve, and overwhelmed the crew and caused a loss of control.
March 1, 1938	9	0	0	1938 Yosemite TWA crash	Yosemite National Park	California	Douglas DC-2	The flight encountered severe weather and crashed into a mountain. The aircraft was not located until three months later.
January 11, 1938	7	0	0	Samoan Clipper	Pago Pago	American Samoa	Sikorsky S-42	The crew attempted to dump fuel in preparation for an emergency landing due to an oil leak, but a fire ignited and caused an explosion.
